Band0, Band1, Band2
200, 57, 112
104, 171, 232
19, 57, 213
104, 43, 111
130, 52, 139
123, 183, 231
38, 41, 86
104, 51, 228
160, 43, 109
40, 55, 227
22, 43, 219
83, 185, 107
20, 53, 114
85, 186, 107
182, 33, 235
104, 52, 219
22, 161, 228
40, 52, 219
40, 51, 108
129, 52, 48
194, 51, 85
40, 186, 151
22, 162, 121
40, 171, 175
43, 180, 211
66, 139, 189
183, 128, 177
195, 126, 172
177, 57, 111
135, 34, 228
150, 55, 147
191, 67, 191
215, 143, 161
197, 129, 161
162, 143, 188
179, 139, 189
186, 130, 181
179, 131, 161
195, 129, 188
186, 139, 161
189, 114, 189
179, 142, 160
186, 129, 191
163, 218, 173
197, 118, 189
186, 125, 161
161, 214, 187
171, 117, 189
55, 214, 170
165, 139, 189
178, 144, 182
186, 97, 189
179, 133, 172
162, 129, 189
213, 140, 161
195, 116, 181
196, 107, 189
172, 121, 189
195, 132, 170
181, 130, 189
185, 136, 172
182, 112, 186
48, 134, 181
177, 10, 161
179, 228, 161
171, 121, 186
220, 133, 133
21, 216, 189
195, 133, 170
179, 143, 181
162, 8, 161
53, 133, 190
215, 144, 172
55, 73, 193
21, 206, 173
162, 129, 172
23, 131, 171
179, 130, 189
195, 122, 183
193, 108, 161
191, 132, 145
175, 126, 172
190, 130, 161
167, 147, 183
183, 142, 161
174, 129, 165
14, 131, 173
171, 131, 173
220, 132, 161
189, 131, 189
195, 126, 183
195, 128, 172
23, 130, 173
179, 108, 183
190, 116, 183
126, 139, 169
183, 128, 189
174, 144, 188
174, 205, 161
179, 131, 172
176, 143, 194
38, 106, 189
162, 121, 161
220, 131, 161
181, 98, 137
182, 129, 161
51, 130, 159
162, 129, 189
220, 126, 181
197, 122, 145
161, 214, 161
13, 129, 188
26, 143, 189
182, 119, 137
196, 130, 168
52, 130, 184
169, 142, 187
196, 132, 173
172, 145, 161
190, 205, 170
181, 131, 188
205, 121, 173
192, 122, 188
193, 97, 168
162, 123, 181
179, 128, 137
195, 143, 173
197, 121, 161
186, 132, 186
165, 122, 180
189, 119, 161
52, 117, 189
198, 121, 161
174, 73, 165
193, 107, 172
215, 145, 189
179, 106, 145
184, 215, 188
223, 131, 172
162, 121, 161
21, 98, 173
198, 133, 189
195, 129, 161
179, 121, 183
175, 121, 165
161, 116, 189
26, 65, 181
189, 8, 170
178, 139, 189
162, 130, 161
183, 121, 189
212, 128, 173
182, 139, 189
212, 129, 172
179, 142, 137
188, 132, 168
21, 129, 177
198, 121, 189
175, 121, 160
179, 142, 189
169, 121, 170
213, 142, 161
180, 130, 177
174, 129, 173
53, 125, 186
174, 74, 172
191, 118, 189
220, 121, 186
189, 131, 160
173, 128, 170
181, 133, 161
216, 131, 183
195, 132, 189
162, 143, 165
220, 129, 186
21, 122, 173
182, 131, 161
175, 108, 160
21, 131, 189
26, 121, 188
195, 142, 172
181, 133, 165
182, 122, 189
213, 143, 161
175, 97, 189
179, 143, 177
174, 133, 170
197, 142, 236
182, 133, 189
36, 121, 165
189, 110, 165
176, 117, 189
193, 121, 161
44, 142, 177
14, 106, 169
223, 123, 161
189, 8, 137
78, 138, 170
15, 128, 161
222, 123, 173
220, 130, 161
161, 139, 177
214, 130, 189
186, 121, 188
196, 129, 177
14, 114, 189
214, 233, 161
191, 78, 189
176, 126, 173
179, 142, 161
175, 128, 168
182, 214, 181
162, 139, 189
187, 116, 168
172, 147, 195
52, 71, 167
177, 140, 181
14, 129, 189
182, 138, 170
176, 129, 189
213, 132, 181
13, 122, 173
189, 214, 181
165, 206, 161
197, 131, 170
14, 98, 170
179, 121, 181
176, 122, 181
26, 216, 189
166, 131, 170
36, 142, 188
163, 132, 170
186, 142, 183
188, 121, 161
180, 121, 189
190, 214, 169
175, 131, 188
175, 118, 170
195, 121, 169
176, 143, 195
195, 142, 189
162, 142, 161
213, 131, 189
195, 0, 187
53, 142, 189
186, 129, 169
177, 144, 181
191, 72, 145
186, 138, 181
175, 117, 188
181, 128, 189
173, 139, 135
176, 144, 190
175, 132, 173
192, 214, 165
181, 130, 190
213, 122, 180
182, 140, 181
215, 129, 145
21, 131, 189
171, 142, 181
176, 144, 168
176, 129, 186
